Monday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
ECON3071/L2/01,Advanced Macroeconomics,Lecture,28,Tuesday,15:00,16:00,1:00,DB-B01+,The Lord Dearing Building- Teaching Room B01,40,Jingong Huang,"2, 4-12"
ECON3074/L1/01,Advanced Development Economics,Lecture,8,Tuesday,15:00,16:00,1:00,DB-C07+,The Lord Dearing Building - Teaching Room C07,20,Simon Appleton,"2, 4-13"
ECON3077/S1/03,Advanced Health Economics,Seminar,20,Tuesday,15:00,16:00,1:00,PB-220+,Portland Building-Seminar Room 220 - Level 2,20,Chee-Ruey Hsieh,11月13日
,,,,,,,,,,,,
Wednesday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
ECON1049/S1/07,Mathematical Economics and Econometrics,Seminar,19,Wednesday,9:00,10:00,1:00,PB-203+,Portland Building-Seminar Room 203 - Level 2,20,Xuewen Qian,"5, 7, 9, 11"
ECON2030/L1/01,International Trade,Lecture,128,Wednesday,9:00,11:00,2:00,DB-A05+,The Lord Dearing Building - Lecture Hall A05,252,Wai-Heng Loke,"2, 4-12"
ECON3073/S1/01,Advanced Mathematical Economics,Seminar,17,Wednesday,9:00,10:00,1:00,PB-203+,Portland Building-Seminar Room 203 - Level 2,20,Xuewen Qian,"8, 12"
ECON4049/L1/01,Macroprudential Policy and Financial Conduct,Lecture,11,Wednesday,9:00,11:00,2:00,TB-323+,Teaching Building Seminar Room 323 - Level 3,16,Yifei Cao,"2, 4-13"
ECON3064/L2/01,Advanced Monetary Economics,Lecture,49,Wednesday,9:00,11:00,2:00,TB-405+,Teaching Building Seminar Room 405 - Level 4,64,Chaoyan Wang,4月13日
ECON1035/S1/06,Economic Integration I,Seminar,19,Wednesday,9:00,11:00,2:00,TB-403+,Teaching Building Seminar Room 403 - Level 4,30,Chang Liu,"7, 12"
TB412 booked for Paolo Epifani,Book for Paolo Epifani,WRB-WEB BOOKINGS,10,Wednesday,9:00,13:00,4:00,TB-412+,Teaching Building Seminar Room 412 - Level 4,16,Paolo Epifani,4月13日
ECON1033/S1/01,Introduction to Microeconomics,Seminar,20,Wednesday,9:00,10:00,1:00,PB-220+,Portland Building-Seminar Room 220 - Level 2,20,Jenyu Chou,"5, 7, 9, 11, 13"
ECON2037/S1/01,Development Economics,Seminar,53,Wednesday,9:00,12:00,3:00,DB-B05+,The Lord Dearing Building - Teaching Room B05,102,Xuyan Lou,13
ECON2043/S1/05,Experimental and Behavioural Economics,Seminar,19,Wednesday,9:00,12:00,3:00,PB-203+,Portland Building-Seminar Room 203 - Level 2,20,Tom Lane,13
ECON1049/S1/08,Mathematical Economics and Econometrics,Seminar,19,Wednesday,10:00,11:00,1:00,PB-203+,Portland Building-Seminar Room 203 - Level 2,20,Xuewen Qian,"5, 7, 9, 11"
ECON1033/S1/02,Introduction to Microeconomics,Seminar,20,Wednesday,10:00,11:00,1:00,PB-220+,Portland Building-Seminar Room 220 - Level 2,20,Jenyu Chou,"5, 7, 9, 11, 13"
ECON3073/S1/02,Advanced Mathematical Economics,Seminar,17,Wednesday,10:00,11:00,1:00,PB-203+,Portland Building-Seminar Room 203 - Level 2,20,Xuewen Qian,"8, 12"
ECON1049/S1/09,Mathematical Economics and Econometrics,Seminar,19,Wednesday,11:00,12:00,1:00,PB-203+,Portland Building-Seminar Room 203 - Level 2,20,Xuewen Qian,"5, 7, 9, 11"
ECON1033/S1/06,Introduction to Microeconomics,Seminar,20,Wednesday,11:00,12:00,1:00,PB-220+,Portland Building-Seminar Room 220 - Level 2,20,Jenyu Chou,"5, 7, 9, 11, 13"
ECON3073/S1/03,Advanced Mathematical Economics,Seminar,17,Wednesday,11:00,12:00,1:00,PB-203+,Portland Building-Seminar Room 203 - Level 2,20,Xuewen Qian,"8, 12"
ECON1035/S1/08,Economic Integration I,Seminar,19,Wednesday,11:00,13:00,2:00,TB-403+,Teaching Building Seminar Room 403 - Level 4,30,Chang Liu,"7, 12"
ECON1042/S1/04,Growth and Development in Long-Run Historical Perspective,Seminar,19,Wednesday,11:00,12:30,1:30,PB-205+,Portland Building-Seminar Room 205 - Level 2,20,Sinchan Mitra,"7, 10, 13"
ECON2043/L2/01,Experimental and Behavioural Economics,Lecture,94,Wednesday,12:00,13:00,1:00,TB-329+,Teaching Building Tiered Lectue Theatre 329 - Level 3,276,Tom Lane,"2, 4-12"
ECON1049/S1/04,Mathematical Economics and Econometrics,Seminar,19,Wednesday,12:00,13:00,1:00,PB-203+,Portland Building-Seminar Room 203 - Level 2,20,Xuewen Qian,"5, 7, 9, 11"
,,,,,,,,,,,,
Thursday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
ECON2032/P1/01,Econometrics I,Practical,27,Thursday,9:00,10:00,1:00,PB-418(COMP)+,Portland Building-Computer Lab 418 - Level 4,35,Chee Kian Leong,"6, 8, 10, 12-13"
ECON4045/L1/01,"Macroeconomics: Economic Cycles, Frictions and Policy",Lecture,11,Thursday,9:00,11:00,2:00,TB-323+,Teaching Building Seminar Room 323 - Level 3,16,Eric Scheffel,"2, 4-13"
ECON1049/L1/01,Mathematical Economics and Econometrics,Lecture,170,Thursday,9:00,12:00,3:00,TB-329+,Teaching Building Tiered Lectue Theatre 329 - Level 3,276,Xuewen Qian,"2, 4-12"
ECON2030/S1/02,International Trade,Seminar,19,Thursday,9:00,10:00,1:00,DB-C09+,The Lord Dearing Building - Teaching Room C09,24,Wai-Heng Loke,"6, 9, 12"
ECON2043/S1/04,Experimental and Behavioural Economics,Seminar,19,Thursday,9:00,12:00,3:00,DB-C09+,The Lord Dearing Building - Teaching Room C09,24,Tom Lane,13
ECON2030/S1/03,International Trade,Seminar,19,Thursday,10:00,11:00,1:00,DB-C09+,The Lord Dearing Building - Teaching Room C09,24,Wai-Heng Loke,"6, 9, 12"
ECON2032/P1/02,Econometrics I,Practical,27,Thursday,10:00,11:00,1:00,PB-418(COMP)+,Portland Building-Computer Lab 418 - Level 4,35,Chee Kian Leong,"6, 8, 10, 12-13"
ECON3063/L1/01,International Trade Policy I,Lecture,151,Thursday,11:00,13:00,2:00,DB-A05+,The Lord Dearing Building - Lecture Hall A05,252,Paolo Epifani,4月13日
ECON2030/S1/04,International Trade,Seminar,19,Thursday,11:00,12:00,1:00,DB-C09+,The Lord Dearing Building - Teaching Room C09,24,Wai-Heng Loke,"6, 9, 12"
ECON2032/P1/03,Econometrics I,Practical,27,Thursday,11:00,12:00,1:00,PB-418(COMP)+,Portland Building-Computer Lab 418 - Level 4,35,Chee Kian Leong,"6, 8, 10, 12-13"
ECON2032/L2/01,Econometrics I,Lecture,160,Thursday,12:00,13:00,1:00,TB-329+,Teaching Building Tiered Lectue Theatre 329 - Level 3,276,Chee Kian Leong,"4-5, 7, 9, 11, 14"
ECON2037/S2/01,Development Economics,Seminar,53,Thursday,12:00,15:00,3:00,DB-A06+,The Lord Dearing Building - Teaching Room A06,90,Xuyan Lou,13
ECON2034/L1/01,Labour Economics,Lecture,48,Thursday,13:00,15:00,2:00,DB-C06+,The Lord Dearing Building - Teaching Room C06,90,Minghai Zhou,"2, 4-12"
ECON3074/L2/01,Advanced Development Economics,Lecture,8,Thursday,14:00,15:00,1:00,DB-C07+,The Lord Dearing Building - Teaching Room C07,20,Simon Appleton,"2, 4-13"
ECON3071/S1/02,Advanced Macroeconomics,Seminar,14,Thursday,14:00,15:00,1:00,PB-207+,Portland Building-Seminar Room 207 - Level 2,18,Jingong Huang,"5, 7, 9, 11"
ECON4044/S1/01,Microeconomics: consumer and firm behaviour,Seminar,11,Thursday,14:00,15:00,1:00,TB-412+,Teaching Building Seminar Room 412 - Level 4,16,Stuart Mcdonald,"5, 7, 9-10, 12, 14"
ECON1035/S1/01,Economic Integration I,Seminar,19,Thursday,14:00,16:00,2:00,PB-205+,Portland Building-Seminar Room 205 - Level 2,20,Chang Liu,"7, 12"
ECON3071/S1/01,Advanced Macroeconomics,Seminar,14,Thursday,15:00,16:00,1:00,PB-207+,Portland Building-Seminar Room 207 - Level 2,18,Jingong Huang,"5, 7, 9, 11"
ECON1033/S1/03,Introduction to Microeconomics,Seminar,20,Thursday,15:00,16:00,1:00,PB-220+,Portland Building-Seminar Room 220 - Level 2,20,Jenyu Chou,"5, 7, 9, 11, 13"
ECON2030/S1/05,International Trade,Seminar,19,Thursday,15:00,16:00,1:00,TB-402+,Teaching Building Seminar Room 402 - Level 4,30,Wai-Heng Loke,"6, 9, 12"
ECON2032/P1/06,Econometrics I,Practical,27,Thursday,15:00,16:00,1:00,PB-418(COMP)+,Portland Building-Computer Lab 418 - Level 4,35,Chee Kian Leong,"6, 8, 10, 12-13"
ECON3064/S1/01,Advanced Monetary Economics,Seminar,17,Thursday,15:00,16:00,1:00,PB-112+,Portland Building-Seminar Room 112 - Level 1 (Original name: Student Services Building),24,Chaoyan Wang,"9, 11-13"
ECON1042/S1/06,Growth and Development in Long-Run Historical Perspective,Seminar,19,Thursday,15:00,16:30,1:30,TB-402+,Teaching Building Seminar Room 402 - Level 4,30,Sinchan Mitra,"7, 10, 13"
ECON2043/S1/01,Experimental and Behavioural Economics,Seminar,19,Thursday,15:00,18:00,3:00,PB-205+,Portland Building-Seminar Room 205 - Level 2,20,Tom Lane,13
ECON1049/S1/05,Mathematical Economics and Econometrics,Seminar,19,Thursday,16:00,17:00,1:00,PB-205+,Portland Building-Seminar Room 205 - Level 2,20,Xuewen Qian,"5, 7, 9, 11"
ECON1033/S1/04,Introduction to Microeconomics,Seminar,20,Thursday,16:00,17:00,1:00,PB-220+,Portland Building-Seminar Room 220 - Level 2,20,Jenyu Chou,"5, 7, 9, 11, 13"
ECON2030/S1/06,International Trade,Seminar,19,Thursday,16:00,17:00,1:00,TB-402+,Teaching Building Seminar Room 402 - Level 4,30,Wai-Heng Loke,"6, 9, 12"
ECON2032/P1/04,Econometrics I,Practical,27,Thursday,16:00,17:00,1:00,PB-418(COMP)+,Portland Building-Computer Lab 418 - Level 4,35,Chee Kian Leong,"6, 8, 10, 12-13"
ECON3064/S1/03,Advanced Monetary Economics,Seminar,17,Thursday,16:00,17:00,1:00,PB-112+,Portland Building-Seminar Room 112 - Level 1 (Original name: Student Services Building),24,Chaoyan Wang,"9, 11-13"
ECON3076/L1/01,Topics in Time Series Econometrics,Lecture,39,Thursday,16:00,18:00,2:00,PB-312+,Portland Building-Seminar Room 312 - Level 3,48,Zhenjiang Lin,"2, 4-9"
ECON1035/S1/02,Economic Integration I,Seminar,19,Thursday,16:00,18:00,2:00,PB-204+,Portland Building-Seminar Room 204 - Level 2,20,Chang Liu,"7, 12"
ECON1042/S1/05,Growth and Development in Long-Run Historical Perspective,Seminar,19,Thursday,16:30,18:00,1:30,TB-402+,Teaching Building Seminar Room 402 - Level 4,30,Sinchan Mitra,"7, 10, 13"
ECON1049/S1/06,Mathematical Economics and Econometrics,Seminar,19,Thursday,17:00,18:00,1:00,PB-205+,Portland Building-Seminar Room 205 - Level 2,20,Xuewen Qian,"5, 7, 9, 11"
ECON1033/S1/05,Introduction to Microeconomics,Seminar,20,Thursday,17:00,18:00,1:00,PB-220+,Portland Building-Seminar Room 220 - Level 2,20,Jenyu Chou,"5, 7, 9, 11, 13"
ECON2030/S1/07,International Trade,Seminar,19,Thursday,17:00,18:00,1:00,TB-402+,Teaching Building Seminar Room 402 - Level 4,30,Wai-Heng Loke,"6, 9, 12"
ECON2032/P1/05,Econometrics I,Practical,27,Thursday,17:00,18:00,1:00,PB-418(COMP)+,Portland Building-Computer Lab 418 - Level 4,35,Chee Kian Leong,"6, 8, 10, 12-13"
ECON3064/S1/02,Advanced Monetary Economics,Seminar,17,Thursday,17:00,18:00,1:00,PB-112+,Portland Building-Seminar Room 112 - Level 1 (Original name: Student Services Building),24,Chaoyan Wang,"9, 11-13"
,,,,,,,,,,,,
Friday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
ECON4049/C1/01,Macroprudential Policy and Financial Conduct,Seminar,11,Friday,9:00,10:00,1:00,PB-413(COMP)+,Portland Building-Computer Lab 413 - Level 4,24,Yifei Cao,"2, 4-6"
ECON1049/S1/03,Mathematical Economics and Econometrics,Seminar,19,Friday,9:00,10:00,1:00,PB-220+,Portland Building-Seminar Room 220 - Level 2,20,Xuewen Qian,"5, 7, 9, 11"
ECON4049/S1/01,Macroprudential Policy and Financial Conduct,Seminar,11,Friday,9:00,10:00,1:00,TB-323+,Teaching Building Seminar Room 323 - Level 3,16,Yifei Cao,11月12日
ECON2037/L1/01,Development Economics,Lecture,53,Friday,9:00,11:00,2:00,TB-405+,Teaching Building Seminar Room 405 - Level 4,64,Xuyan Lou,"2, 4-12"
ECON1041/L1/01,Economic Perspectives,Lecture,41,Friday,9:00,11:00,2:00,TB-418+,Teaching Building Seminar Room 418 - Level 4,41,Minghai Zhou,"2, 4-13"
ECON3063/L2/01,International Trade Policy I,Lecture,151,Friday,9:00,11:00,2:00,DB-A05+,The Lord Dearing Building - Lecture Hall A05,252,Paolo Epifani,4月13日
ECON1035/S1/05,Economic Integration I,Seminar,19,Friday,9:00,11:00,2:00,PB-203+,Portland Building-Seminar Room 203 - Level 2,20,Chang Liu,"7, 12"
ECON2043/S1/02,Experimental and Behavioural Economics,Seminar,19,Friday,9:00,12:00,3:00,PB-220+,Portland Building-Seminar Room 220 - Level 2,20,Tom Lane,13
