Monday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
LANG2059/S1/01 - Refer to LANG2071/S1/01 Timetable,Inter Faculty Japanese 2a,Seminar,23,Monday,16:00,18:00,2:00,,,,,"2, 4-13"
LANG2071/S1/01,Japanese 2A,Seminar,23,Monday,16:00,18:00,2:00,DB-C09+,The Lord Dearing Building - Teaching Room C09,24,Qie Yi,"2, 4-13"
LANG3068/S1/02,French 3A,Seminar,18,Monday,16:00,18:00,2:00,TB-406+,Teaching Building Seminar Room 406 - Level 4,20,Eugenie Duthoit (French Tutor),"2, 4-13"
LANG3074/S1/01,Japanese 3A,Seminar,24,Monday,16:00,18:00,2:00,TB-112+,Teaching Building Seminar Room 112 - Level 1,30,Daiho Kitaoka,"2, 4-13"
LANG3072/S1/02,Spanish 3A,Seminar,20,Monday,16:00,18:00,2:00,TB-216+,Teaching Building Seminar Room 216 - Level 2,20,Adriana Mart：?nez Mart：?nez,"2, 4-13"
LANG3062/S1/01 - Refer to LANG3072/S1/04 Timetable,Inter Faculty Spanish 3a,Seminar,1,Monday,16:00,18:00,2:00,,,,,"2, 4-13"
LANG2075/S1/01,Mandarin 2A,Seminar,10,Monday,16:00,18:00,2:00,TB-410+,Teaching Building Seminar Room 410 - Level 4,20,Meiying Wu,"2, 4-13"
LANG3072/S1/04,Spanish 3A,Seminar,22,Monday,16:00,18:00,2:00,TB-215+,Teaching Building Seminar Room 215 - Level 2,22,Arminda Nira Hern：?Ndez Castellano,"2, 4-13"
LANG3109/S1/01,Mandarin 5A,Seminar,16,Monday,16:00,18:00,2:00,TB-323+,Teaching Building Seminar Room 323 - Level 3,16,May Li,"2, 4-13"
,,,,,,,,,,,,
Tuesday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
LANG3074/S3/01,Japanese 3A,Seminar,24,Tuesday,9:00,10:00,1:00,PB-330(LANG)+,"Portland Building-Language Lab, Computer Lab 330 - Level 3",24,Daiho Kitaoka,"2, 4-13"
LANG1074/S2/01,German 1A,Seminar,16,Tuesday,9:00,11:00,2:00,TB-228+,Teaching Building Seminar Room 228 - Level 2,30,Gerald Siegler,"2, 4-13"
LANG1076/S1/05,Spanish 1A,Seminar,15,Tuesday,9:00,11:00,2:00,TB-403+,Teaching Building Seminar Room 403 - Level 4,30,Adriana Mart：?nez Mart：?nez,"2, 4-13"
LANG1076/S1/04,Spanish 1A,Seminar,17,Tuesday,9:00,11:00,2:00,TB-402+,Teaching Building Seminar Room 402 - Level 4,30,Virginia Arrieta,"2, 4-13"
LANG1072/S2/01,French 1A,Seminar,16,Tuesday,9:00,11:00,2:00,PB-203+,Portland Building-Seminar Room 203 - Level 2,20,Gr：?Gory Huet,"2, 4-13"
LANG1080/S1/01,Korean 1A,Seminar,7,Tuesday,9:00,11:00,2:00,TB-416+,Teaching Building Seminar Room 416 - Level 4,16,Kyung Min Nam,"2, 4-13"
LANG1078/S2/02,Japanese 1A,Seminar,16,Tuesday,9:30,11:30,2:00,PB-207+,Portland Building-Seminar Room 207 - Level 2,18,Toru Ikarashi,"2, 4-13"
LANG1062/S1/01,Inter Faculty French 1a,Seminar,19,Tuesday,10:00,12:00,2:00,PB-112+,Portland Building-Seminar Room 112 - Level 1 (Original name: Student Services Building),24,Emilie Thevenet,"2, 4-13"
LANG2055/S3/01,Inter Faculty French 2a,Seminar,10,Tuesday,11:00,12:00,1:00,PB-209(LANG)+,Portland Building-Language Lab 209 Level 2,20,Sylvain Pourciel,"2, 4-13"
LANG1072/S1/03,French 1A,Seminar,16,Tuesday,11:00,13:00,2:00,TB-221+,Teaching Building Seminar Room 221 - Level 2,18,Audrey Heck,"2, 4-13"
LANG1078/S1/01,Japanese 1A,Seminar,16,Tuesday,11:00,13:00,2:00,TB-402+,Teaching Building Seminar Room 402 - Level 4,30,Daiho Kitaoka,"2, 4-13"
LANG1064/S2/01,Inter Faculty German 1a,Seminar,16,Tuesday,11:00,13:00,2:00,TB-110+,Teaching Building Seminar Room 110 - Level 1,30,Swantje Boschen,"2, 4-13"
LANG2069/S2/02,Spanish 2A,Seminar,18,Tuesday,11:00,13:00,2:00,TB-120+,Teaching Building Seminar Room 120 - Level 1,30,Alexandre Gonz：?Lez,"2, 4-13"
LANG2061/S2/01 - Refer to LANG2069/S2/02 Timetable,Inter Faculty Spanish 2a,Seminar,16,Tuesday,11:00,13:00,2:00,,,,,"2, 4-13"
LANG2057/S1/01 - Refer to LANG2067/S1/01 Timetable,Inter Faculty German 2a,Seminar,6,Tuesday,11:00,13:00,2:00,,,,,"2, 4-13"
LANG3068/S2/01,French 3A,Seminar,18,Tuesday,11:00,13:00,2:00,PB-219+,Portland Building-Seminar Room 219 - Level 2,20,Eugenie Duthoit (French Tutor),"2, 4-13"
LANG2067/S1/01,German 2A,Seminar,6,Tuesday,11:00,13:00,2:00,TB-323+,Teaching Building Seminar Room 323 - Level 3,16,Caroline Boehrer,"2, 4-13"
LANG3072/S2/04,Spanish 3A,Seminar,22,Tuesday,11:00,13:00,2:00,TB-228+,Teaching Building Seminar Room 228 - Level 2,30,Arminda Nira Hern：?Ndez Castellano,"2, 4-13"
LANG3062/S2/01 - Refer to LANG3072/S2/04 Timetable,Inter Faculty Spanish 3a,Seminar,1,Tuesday,11:00,13:00,2:00,,,,,"2, 4-13"
LANG3080/S2/01,Mandarin 3A,Seminar,10,Tuesday,11:00,13:00,2:00,TB-412+,Teaching Building Seminar Room 412 - Level 4,16,Vivian Yan,"2, 4-13"
LANG2065/S3/01,French 2A,Seminar,16,Tuesday,12:00,13:00,1:00,PB-209(LANG)+,Portland Building-Language Lab 209 Level 2,20,Sylvain Pourciel,"2, 4-13"
LANG1066/S1/02,Inter Faculty Japanese 1a,Seminar,17,Tuesday,12:00,14:00,2:00,DB-C07+,The Lord Dearing Building - Teaching Room C07,20,Qie Yi,"2, 4-13"
LANG2069/S2/01,Spanish 2A,Seminar,18,Tuesday,14:00,16:00,2:00,TB-120+,Teaching Building Seminar Room 120 - Level 1,30,Alexandre Gonz：?Lez,"2, 4-13"
LANG1068/S1/04,Inter Faculty Spanish 1a,Seminar,18,Tuesday,14:00,16:00,2:00,PB-207+,Portland Building-Seminar Room 207 - Level 2,18,Virginia Arrieta,"2, 4-13"
LANG3076/S2/01,Italian 3A,Seminar,4,Tuesday,14:00,16:00,2:00,TB-416+,Teaching Building Seminar Room 416 - Level 4,16,Giovanna Comerio,"2, 4-13"
LANG3072/S1/01,Spanish 3A,Seminar,20,Tuesday,14:00,16:00,2:00,TB-228+,Teaching Building Seminar Room 228 - Level 2,30,Adriana Mart：?nez Mart：?nez,"2, 4-13"
LANG1084/S1/02,Mandarin Listening and Speaking 1A,Seminar,16,Tuesday,14:00,16:00,2:00,PB-218+,Portland Building-Seminar Room 218- Level 2,16,Yolanda Liu,"2, 4-13"
LANG3109/S2/01,Mandarin 5A,Seminar,16,Tuesday,14:00,16:00,2:00,TB-323+,Teaching Building Seminar Room 323 - Level 3,16,May Li,"2, 4-13"
LANG1072/S2/04,French 1A,Seminar,16,Tuesday,16:00,18:00,2:00,TB-324+,Teaching Building Seminar Room 324 - Level 3,20,Emilie Thevenet,"2, 4-13"
LANG1078/S2/04,Japanese 1A,Seminar,16,Tuesday,16:00,18:00,2:00,TB-318+,Teaching Building Seminar Room 318 - Level 3,20,Toru Ikarashi,"2, 4-13"
LANG1062/S1/02,Inter Faculty French 1a,Seminar,19,Tuesday,16:00,18:00,2:00,TB-410+,Teaching Building Seminar Room 410 - Level 4,20,Gr：?Gory Huet,"2, 4-13"
LANG1076/S2/06,Spanish 1A,Seminar,15,Tuesday,16:00,18:00,2:00,TB-103+,Teaching Building Seminar Room 103- Level 1,30,Virginia Arrieta,"2, 4-13"
LANG1068/S2/01,Inter Faculty Spanish 1a,Seminar,18,Tuesday,16:00,18:00,2:00,TB-120+,Teaching Building Seminar Room 120 - Level 1,30,Alexandre Gonz：?Lez,"2, 4-13"
LANG1068/S1/02,Inter Faculty Spanish 1a,Seminar,18,Tuesday,16:00,18:00,2:00,PB-207+,Portland Building-Seminar Room 207 - Level 2,18,Penny Franco,"2, 4-13"
LANG1070/S1/01,Inter Faculty Korean 1A,Seminar,18,Tuesday,16:00,18:00,2:00,TB-406+,Teaching Building Seminar Room 406 - Level 4,20,Kyung Min Nam,"2, 4-13"
LANG1076/S1/03,Spanish 1A,Seminar,15,Tuesday,16:00,18:00,2:00,DB-C08+,The Lord Dearing Building - Teaching Room C08,24,Daniel Bueno Galiana,"2, 4-13"
LANG3068/S2/02,French 3A,Seminar,18,Tuesday,16:00,18:00,2:00,TB-211+,Teaching Building Seminar Room 211 - Level 2,20,Eugenie Duthoit (French Tutor),"2, 4-13"
LANG3070/S1/02,German 3A,Seminar,16,Tuesday,16:00,18:00,2:00,TB-407+,Teaching Building Seminar Room 407 - Level 4,20,Caroline Boehrer,"2, 4-13"
LANG3072/S2/03,Spanish 3A,Seminar,20,Tuesday,16:00,18:00,2:00,TB-321+,Teaching Building Seminar Room 321 - Level 3,20,Arminda Nira Hern：?Ndez Castellano,"2, 4-13"
LANG3074/S2/02,Japanese 3A,Seminar,23,Tuesday,16:00,18:00,2:00,DB-C09+,The Lord Dearing Building - Teaching Room C09,24,Daiho Kitaoka,"2, 4-13"
LANG3068/S2/03,French 3A,Seminar,18,Tuesday,16:00,18:00,2:00,TB-216+,Teaching Building Seminar Room 216 - Level 2,20,Audrey Heck,"2, 4-13"
,,,,,,,,,,,,
Wednesday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
LANG3086/S1/01 - Refer to LANG3084/S1/01 Timetable,Work Placement in the Language Centre (10credits Level3),Seminar,16,Wednesday,9:00,11:00,2:00,,,,,"2, 4-6"
LANG1078/S3/01,Japanese 1A,Seminar,16,Wednesday,9:00,10:00,1:00,PB-209(LANG)+,Portland Building-Language Lab 209 Level 2,20,Daiho Kitaoka,"2, 4-13"
LANG2077/S2/01,Mandarin Listening and Speaking 2A,Seminar,16,Wednesday,9:00,10:00,1:00,PB-331(LANG)+,"Portland Building-Language Lab, Computer Lab 331 - Level 3",25,Smile Ye,"2, 4-13"
LANG2075/S2/02,Mandarin 2A,Seminar,10,Wednesday,9:00,11:00,2:00,PB-207+,Portland Building-Seminar Room 207 - Level 2,18,Wendy Gu,"2, 4-13"
LANG3105/S1/01,Mandarin for Business Part A,Seminar,16,Wednesday,9:00,11:00,2:00,TB-416+,Teaching Building Seminar Room 416 - Level 4,16,May Li,"2, 4-13"
LANG3084/S1/01,Work Placement in the Language Centre (20credits Level3),Seminar,16,Wednesday,9:00,11:00,2:00,PB-218+,Portland Building-Seminar Room 218- Level 2,16,Emilie Thevenet,4埖8晩
