Monday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
MATH2033/L1/01,Introduction to Scientific Computation,Lecture,31,Thursday,11:00,13:00,2:00,DB-B01+,The Lord Dearing Building- Teaching Room B01,40,Richard Rankin,"2, 4-14"
MATH1028/C1/01,Analytical and Computational Foundations,Computing,60,Thursday,12:00,13:00,1:00,PMB-306(COMP)+,PMB Computer Teaching Room 306 - Level 3 - Priority by Faculty Office of Science and Engineering,72,"Zhiwei Cheng (Gta),Tianlun Fei","2, 4-14"
MATH1028/C1/02,Analytical and Computational Foundations,Computing,60,Thursday,13:00,14:00,1:00,PMB-306(COMP)+,PMB Computer Teaching Room 306 - Level 3 - Priority by Faculty Office of Science and Engineering,72,"Zhiwei Cheng (Gta),Tianlun Fei","2, 4-14"
MATH2035/S1/01,Modelling with Differential Equations,Seminar,30,Thursday,14:00,15:00,1:00,DB-A01+,The Lord Dearing Building - Teaching Room A01,30,Hayk Mikayelyan,"2, 4-14"
MATH1046/S1/01,Mathematical Methods for Architectural and Environmental Engineering,Seminar,35,Thursday,15:00,16:00,1:00,DB-B01+,The Lord Dearing Building- Teaching Room B01,40,Tianlun Fei,"2, 4-14"
MATH1046/S1/02,Mathematical Methods for Architectural and Environmental Engineering,Seminar,35,Thursday,16:00,17:00,1:00,DB-B01+,The Lord Dearing Building- Teaching Room B01,40,Tianlun Fei,"2, 4-14"
,,,,,,,,,,,,
Friday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
MATH1030/S1/01,Linear Mathematics,Seminar,60,Friday,9:00,10:00,1:00,DB-B05+,The Lord Dearing Building - Teaching Room B05,102,Daniele Garrisi,"2, 4-14"
MATH1031/S1/01,Mathematical Methods for Civil Engineering,Seminar,40,Friday,9:00,10:00,1:00,DB-B01+,The Lord Dearing Building- Teaching Room B01,40,Tianlun Fei,"2, 4-14"
MATH1027/S1/02,Calculus,Seminar,60,Friday,9:00,10:00,1:00,DB-C06+,The Lord Dearing Building - Teaching Room C06,90,Shravan Luckraz,"2, 4-14"
MATH1030/S1/02,Linear Mathematics,Seminar,60,Friday,10:00,11:00,1:00,DB-B05+,The Lord Dearing Building - Teaching Room B05,102,Daniele Garrisi,"2, 4-14"
MATH1027/S1/01,Calculus,Seminar,60,Friday,10:00,11:00,1:00,DB-C06+,The Lord Dearing Building - Teaching Room C06,90,Shravan Luckraz,"2, 4-14"
MATH2039/L1/01,Probability Models and Methods,Lecture,29,Friday,10:00,12:00,2:00,DB-A01+,The Lord Dearing Building - Teaching Room A01,30,Yongmei Cai,"2, 4-14"
MATH2033/C1/01,Introduction to Scientific Computation,Lecture,31,Friday,14:00,15:00,1:00,PB-119(COMP)+,Portland Building-Computer Lab 119 - Level 1,35,Richard Rankin,"2, 4-14"
MATH1032/L1/01,Probability,Lecture,124,Friday,14:00,16:00,2:00,DB-A05+,The Lord Dearing Building - Lecture Hall A05,252,Chong You,"2, 4-14"
MATH2039/S1/01,Probability Models and Methods,Seminar,29,Friday,15:00,16:00,1:00,PB-201+,PB-203+-Seminar Room 201 - Level 2,30,Yongmei Cai,"2, 4-14"
MATH1032/S1/01,Probability,Seminar,62,Friday,16:00,17:00,1:00,DB-A06+,The Lord Dearing Building - Teaching Room A06,90,Chong You,"2, 4-14"
MATH1032/S1/02,Probability,Seminar,62,Friday,17:00,18:00,1:00,DB-A06+,The Lord Dearing Building - Teaching Room A06,90,Chong You,"2, 4-14"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Weeks 2 & 4-14 = Autumn semester; Weeks 23-34 = Spring semester,,,,,,,,,,,,
