Monday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
MMME3038/L1/01,Thermofluids 3,Lecture,16,Wednesday,9:00,11:00,2:00,TB-111+,Teaching Building Seminar Room 111 - Level 1,20,Xinyu Zhang,"2, 4-14"
MMME2014/S1/01,Dynamics,Seminar,16,Wednesday,11:00,12:00,1:00,DB-C04+,The Lord Dearing Building - Teaching Room C04,48,"Dunant Halim,Jian Yang","2, 4-14"
MMME3096/L1/01,Industrial Design Professional Practice 3B,Lecture,52,Wednesday,11:00,12:00,1:00,PMB-306(COMP)+,PMB Computer Teaching Room 306 - Level 3 - Priority by Faculty Office of Science and Engineering,72,"Luis Moreno Leyva,A Pdm New Staff",4月14日
MMME1044/P1/F,Engineering Design and Design Project,Practical,14,Wednesday,12:00,15:00,3:00,PMB-206*,PMB Lab Room 206 - Level 2 - Model Workshop,20,"Kliment Radoev,A Pdm New Technician","4, 6, 8, 10, 12"
MMME1044/P1/A,Engineering Design and Design Project,Practical,14,Wednesday,12:00,15:00,3:00,PMB-116*,PMB - Lab Room 116 - Level 1 - Engineering Application workshop,18,"Dawei Chen,Xiao Hua,Joseph Zhang","4, 6, 8, 10, 12"
MMME1044/C1/02,Engineering Design and Design Project,Computing,52,Wednesday,12:00,15:00,3:00,PMB-306(COMP)+,PMB Computer Teaching Room 306 - Level 3 - Priority by Faculty Office of Science and Engineering,72,"Robert Pierce,Kok-Hoong Wong,Xiaoling Liu,Hao Chen,Li Guang",4月14日
MMME1044/P1/B,Engineering Design and Design Project,Practical,14,Wednesday,12:00,15:00,3:00,PMB-116*,PMB - Lab Room 116 - Level 1 - Engineering Application workshop,18,"Dawei Chen,Xiao Hua,Joseph Zhang","5, 7, 9, 11, 13"
MMME2017/P1/01,Thermodynamics & Fluid Mechanics 2,Practical,6,Wednesday,14:00,17:00,3:00,PMB-212*,PMB Lab Room 212 - Level 2 - Thermofluid Lab,24,",Yong Shi",6
MMME2017/P1/02,Thermodynamics & Fluid Mechanics 2,Practical,6,Wednesday,14:00,17:00,3:00,PMB-212*,PMB Lab Room 212 - Level 2 - Thermofluid Lab,24,",Yong Shi",7
MMME2017/P1/03,Thermodynamics & Fluid Mechanics 2,Practical,6,Wednesday,14:00,17:00,3:00,PMB-212*,PMB Lab Room 212 - Level 2 - Thermofluid Lab,24,",Yong Shi",8
MMME2017/P1/04,Thermodynamics & Fluid Mechanics 2,Practical,6,Wednesday,14:00,17:00,3:00,PMB-212*,PMB Lab Room 212 - Level 2 - Thermofluid Lab,24,",Yong Shi",9
MMME2017/P1/05,Thermodynamics & Fluid Mechanics 2,Practical,6,Wednesday,14:00,17:00,3:00,PMB-212*,PMB Lab Room 212 - Level 2 - Thermofluid Lab,24,",Yong Shi",10
MMME2017/P1/06,Thermodynamics & Fluid Mechanics 2,Practical,6,Wednesday,14:00,17:00,3:00,PMB-212*,PMB Lab Room 212 - Level 2 - Thermofluid Lab,24,",Yong Shi",11
MMME1044/P1/C,Engineering Design and Design Project,Practical,14,Wednesday,15:00,18:00,3:00,PMB-116*,PMB - Lab Room 116 - Level 1 - Engineering Application workshop,18,"Dawei Chen,Xiao Hua,Joseph Zhang","5, 7, 9, 11, 13"
MMME1043/P1/01,Materials and Manufacturing,Practical,9,Wednesday,15:00,18:00,3:00,"IAMET-101(Lab)+,PMB-116*","IAMET-101,PMB - Lab Room 116 - Level 1 - Engineering Application workshop","18,18","Dawei Chen,Xiaoling Liu,Xiao Hua,Hao Chen",6
MMME1043/P1/02,Materials and Manufacturing,Practical,9,Wednesday,15:00,18:00,3:00,"IAMET-101(Lab)+,PMB-116*","IAMET-101,PMB - Lab Room 116 - Level 1 - Engineering Application workshop","18,18","Dawei Chen,Xiaoling Liu,Xiao Hua,Hao Chen",8
