Monday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
INTS2001/S1/01,The Making of Contemporary Europe 1945-2000.,Seminar,20,Tuesday,16:00,18:00,2:00,TB-401+,Teaching Building Seminar Room 401 - Level 4,30,Rosaria Franco,"2, 4-14"
,,,,,,,,,,,,
Wednesday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
INTS3002/L1/01,Dissertation: Preliminary Analysis,Lecture,85,Wednesday,9:00,11:00,2:00,DB-C06+,The Lord Dearing Building - Teaching Room C06,90,"Nicholas Smith,Maximilian Mayer,Mark Bailey,Julia Trombetta,Ian Nelson,Grant Dawson,Christian Mller","2, 4-13"
INTS4036/S1/01,China and the World,Seminar,20,Wednesday,9:00,11:00,2:00,DB-C08+,The Lord Dearing Building - Teaching Room C08,24,Nagatomi Hirayama,"2, 4-14"
INTS1005/L1/01,Understanding the West: Europe Cradle of Western Civilization,Lecture,71,Wednesday,9:00,11:00,2:00,TB-226+,Teaching Building Lecture Hall 226 - Level 2,108,"Joseph Askew,Matteo Salonia","2, 4-14"
"INTS1017/L1/01, refer to INTS1005/L1/01 for location",Understanding the West: Europe Cradle of Western Civilization (10 credits),Lecture,15,Wednesday,9:00,11:00,2:00,,,,,"2, 4-14"
INTS2003/L1/01,International Political Economy,Lecture,40,Wednesday,11:00,13:00,2:00,DB-A04+,DB-A04 - Teaching Room A04,60,Mark Bailey,"2, 4-13"
"INTS2032/L1/01, refer to INTS2003/L1/01 for location",International Political Economy (10 credits),Lecture,14,Wednesday,11:00,13:00,2:00,,,,,"2, 4-13"
INTS1005/S1/01,Understanding the West: Europe Cradle of Western Civilization,Seminar,18,Wednesday,11:00,12:00,1:00,PB-112+,Portland Building-Seminar Room 112 - Level 1 (Original name: Student Services Building),24,"Joseph Askew,Matteo Salonia","2, 4-14"
INTS4036/S1/02,China and the World,Seminar,20,Wednesday,11:00,13:00,2:00,DB-C08+,The Lord Dearing Building - Teaching Room C08,24,Nagatomi Hirayama,"2, 4-14"
INTS1005/S1/02,Understanding the West: Europe Cradle of Western Civilization,Seminar,18,Wednesday,12:00,13:00,1:00,PB-112+,Portland Building-Seminar Room 112 - Level 1 (Original name: Student Services Building),24,"Joseph Askew,Matteo Salonia","2, 4-14"
,,,,,,,,,,,,
Thursday,,,,,,,,,,,,
,,,,,,,,,,,,
Activity,Module,Name of Type,Size,Day,Start,End,Duration,Room,Room Description,Room Size,Staff,Weeks
INTS1002/L1/01,Issues in Global Relations,Lecture,26,Thursday,9:00,10:00,1:00,TB-404+,Teaching Building Seminar Room 404 - Level 4,30,"Nicholas Smith,Mark Bailey","2, 4-13"
INTS1005/S1/03,Understanding the West: Europe Cradle of Western Civilization,Seminar,18,Thursday,9:00,10:00,1:00,TB-221+,Teaching Building Seminar Room 221 - Level 2,18,"Joseph Askew,Matteo Salonia","2, 4-14"
"INTS4015/L1/01, refer to INTS3012/L1/01 for location",Contemporary Security: theories and issues,Lecture,20,Thursday,9:00,11:00,2:00,,,,,"2, 4-14"
INTS3012/L1/01,Contemporary Security: theories and issues,Lecture,26,Thursday,9:00,11:00,2:00,DB-C06+,The Lord Dearing Building - Teaching Room C06,90,Julia Trombetta,"2, 4-14"
INTS1005/S1/04,Understanding the West: Europe Cradle of Western Civilization,Seminar,18,Thursday,10:00,11:00,1:00,TB-221+,Teaching Building Seminar Room 221 - Level 2,18,"Joseph Askew,Matteo Salonia","2, 4-14"
INTS2003/S1/01,International Political Economy,Seminar,20,Thursday,12:00,13:00,1:00,PB-201+,PB-203+-Seminar Room 201 - Level 2,30,Mark Bailey,"2, 4-13"
CHIN4045/L1/01,Government and Politics of China,Lecture,40,Thursday,12:00,13:00,1:00,TB-331+,Teaching Building Seminar Room 331 - Level 3,45,Maximilian Mayer,"2, 4-14"
INTS1004/S1/02,Introduction to Comparative Politics (20 credits),Seminar,20,Thursday,12:00,13:00,1:00,TB-111+,Teaching Building Seminar Room 111 - Level 1,20,David Kiwuwa,"2, 4-14"
INTS1009/L1/01,Making of Modern Asia,Lecture,22,Thursday,12:00,13:00,1:00,TB-402+,Teaching Building Seminar Room 402 - Level 4,30,"Joseph Askew,Nagatomi Hirayama,Tracey Fallon","2, 4-14"
INTS2003/S1/02,International Political Economy,Seminar,20,Thursday,13:00,14:00,1:00,PB-201+,PB-203+-Seminar Room 201 - Level 2,30,Mark Bailey,"2, 4-13"
INTS1004/S1/01,Introduction to Comparative Politics (20 credits),Seminar,20,Thursday,13:00,14:00,1:00,TB-111+,Teaching Building Seminar Room 111 - Level 1,20,David Kiwuwa,"2, 4-14"
INTS1009/S1/02,Making of Modern Asia,Seminar,15,Thursday,13:00,14:00,1:00,TB-402+,Teaching Building Seminar Room 402 - Level 4,30,"Joseph Askew,Nagatomi Hirayama,Tracey Fallon","2, 4-14"
CHIN4045/S1/01,Government and Politics of China,Seminar,20,Thursday,14:00,15:00,1:00,TB-401+,Teaching Building Seminar Room 401 - Level 4,30,Maximilian Mayer,"2, 4-14"
INTS1009/S1/01,Making of Modern Asia,Seminar,15,Thursday,14:00,15:00,1:00,TB-402+,Teaching Building Seminar Room 402 - Level 4,30,"Joseph Askew,Nagatomi Hirayama,Tracey Fallon","2, 4-14"
CHIN4045/S1/02,Government and Politics of China,Seminar,20,Thursday,15:00,16:00,1:00,TB-401+,Teaching Building Seminar Room 401 - Level 4,30,Maximilian Mayer,"2, 4-14"
INTS1019/S1/01,Diplomacy,Seminar,19,Thursday,16:00,17:00,1:00,PB-307+,Portland Building-Seminar Room 307 - Level 3,22,Craig Simon (Gta),"2, 4-13"
INTS3002/S1/01,Dissertation: Preliminary Analysis,Seminar,17,Thursday,16:00,17:00,1:00,TB-318+,Teaching Building Seminar Room 318 - Level 3,20,"Nicholas Smith,Maximilian Mayer,Mark Bailey,Julia Trombetta,Ian Nelson,Grant Dawson,Christian Mller","2, 4-13"
INTS1004/S1/03,Introduction to Comparative Politics (20 credits),Seminar,20,Thursday,16:00,17:00,1:00,TB-211+,Teaching Building Seminar Room 211 - Level 2,20,David Kiwuwa,"2, 4-14"
CHIN2019/S1/01,The Rise of Modern China (20 credits),Seminar,20,Thursday,16:00,17:00,1:00,TB-119+,Teaching Building Seminar Room 119 - Level 1,41,Tracey Fallon,4月13日
INTS1019/S1/02,Diplomacy,Seminar,19,Thursday,17:00,18:00,1:00,PB-307+,Portland Building-Seminar Room 307 - Level 3,22,Craig Simon (Gta),"2, 4-13"
